idx,file,result,chart_type
132,joinaggregate_mean_difference_by_year.vl.json,filter,joinaggregate
133,joinaggregate_residual_graph.vl.json,filter,joinaggregate
134,layer_bar_labels_grey.vl.json,extent,layer
135,layer_bar_month.vl.json,Y,layer
136,layer_boxplot_circle.vl.json,Y,layer
137,layer_candlestick.vl.json,Y,layer
138,layer_circle_independent_color.vl.json,filter,layer
139,layer_color_legend_left.vl.json,Y,layer
140,layer_cumulative_histogram.vl.json,Y,layer
141,layer_dual_axis.vl.json,filter,layer
142,layer_histogram.vl.json,Y,layer
143,layer_histogram_global_mean.vl.json,Y,layer
144,layer_line_co2_concentration.vl.json,filter,layer
145,layer_line_color_rule.vl.json,Y,layer
146,layer_line_errorband_2d_horizontal_borders_strokedash.vl.json,Y,layer
147,layer_line_errorband_ci.vl.json,Y,layer
148,layer_line_mean_point_raw.vl.json,filter,layer
149,layer_line_rolling_mean_point_raw.vl.json,Y,layer
150,layer_point_errorbar_1d_horizontal.vl.json,Y,layer
151,layer_point_errorbar_1d_vertical.vl.json,Y,layer
152,layer_point_errorbar_2d_horizontal.vl.json,Y,layer
153,layer_point_errorbar_2d_horizontal_ci.vl.json,Y,layer
154,layer_point_errorbar_2d_horizontal_color_encoding.vl.json,Y,layer
155,layer_point_errorbar_2d_horizontal_custom_ticks.vl.json,Y,layer
156,layer_point_errorbar_2d_horizontal_iqr.vl.json,Y,layer
157,layer_point_errorbar_2d_horizontal_stdev.vl.json,Y,layer
158,layer_point_errorbar_2d_vertical.vl.json,Y,layer
159,layer_point_errorbar_ci.vl.json,Y,layer
160,layer_point_errorbar_stdev.vl.json,Y,layer
161,layer_point_line_loess.vl.json,Y,layer
162,layer_point_line_regression.vl.json,Y,layer
163,layer_precipitation_mean.vl.json,Y,layer
164,layer_ranged_dot.vl.json,filter,layer
165,layer_rect_extent.vl.json,Y,layer
166,layer_scatter_errorband_1D_stdev_global_mean.vl.json,Y,layer
167,layer_scatter_errorband_1d_stdev.vl.json,Y,layer
168,layer_single_color.vl.json,Y,layer
169,layer_text_heatmap.vl.json,Y,layer
170,layer_text_heatmap_joinaggregate.vl.json,Y,layer
171,line.vl.json,filter,line.vl.json
172,line_calculate.vl.json,filter,line
173,line_color.vl.json,Y,line
174,line_color_binned.vl.json,Y,line
175,line_color_halo.vl.json,extent,line
176,line_color_label.vl.json,Y,line
177,line_concat_facet.vl.json,Y,line
178,line_conditional_axis.vl.json,filter,line
179,line_conditional_axis_config.vl.json,filter,line
180,line_detail.vl.json,Y,line
181,line_domainminmax.vl.json,filter,line
182,line_max_year.vl.json,Y,line
183,line_mean_month.vl.json,Y,line
184,line_mean_year.vl.json,Y,line
185,line_monotone.vl.json,filter,line
186,line_month.vl.json,Y,line
187,line_month_center_band.vl.json,Y,line
188,line_overlay.vl.json,Y,line
189,line_overlay_stroked.vl.json,Y,line
190,line_quarter_legend.vl.json,Y,line
191,line_shape_overlay.vl.json,filter,line
192,line_slope.vl.json,Y,line
193,line_step.vl.json,filter,line
194,line_strokedash.vl.json,Y,line
195,line_timeunit_transform.vl.json,Y,line
196,lookup.vl.json,Y,lookup.vl.json
197,nested_concat_align.vl.json,Y,nested
198,parallel_coordinate.vl.json,filter,parallel
199,point_1d.vl.json,Y,point
200,point_2d.vl.json,Y,point
201,point_2d_tooltip.vl.json,Y,point
202,point_2d_tooltip_data.vl.json,Y,point
203,point_aggregate_detail.vl.json,Y,point
204,point_angle_windvector.vl.json,Y,point
205,point_background.vl.json,Y,point
206,point_binned_color.vl.json,Y,point
207,point_binned_opacity.vl.json,Y,point
208,point_binned_size.vl.json,Y,point
209,point_bubble.vl.json,Y,point
210,point_color.vl.json,Y,point
211,point_color_custom.vl.json,Y,point
212,point_color_ordinal.vl.json,Y,point
213,point_color_quantitative.vl.json,Y,point
214,point_color_shape_constant.vl.json,Y,point
215,point_color_with_shape.vl.json,Y,point
216,point_colorramp_size.vl.json,Y,point
217,point_diverging_color.vl.json,Y,point
218,point_dot_timeunit_color.vl.json,Y,point
219,point_filled.vl.json,Y,point
220,point_href.vl.json,Y,point
221,point_invalid_color.vl.json,Y,point
222,point_no_axis_domain_grid.vl.json,Y,point
223,point_params.vl.json,Y,point
224,point_quantile_quantile.vl.json,Y,point
225,point_shape_custom.vl.json,Y,point
226,point_tooltip.vl.json,Y,point
227,rect_binned_heatmap.vl.json,Y,heatmap
228,rect_heatmap.vl.json,Y,heatmap
229,rect_heatmap_weather.vl.json,time_string,heatmap
230,rect_lasagna.vl.json,Y,rect
231,rect_mosaic_labelled.vl.json,Y,rect
232,rect_mosaic_labelled_with_offset.vl.json,Y,rect
233,rect_mosaic_simple.vl.json,Y,rect
234,repeat_child_layer.vl.json,Y,repeat
235,repeat_histogram_flights.vl.json,Y,repeat
236,repeat_layer.vl.json,Y,repeat
237,repeat_line_weather.vl.json,Y,repeat
238,repeat_splom.vl.json,Y,repeat
239,repeat_splom_cars.vl.json,Y,repeat
240,rule_color_mean.vl.json,Y,rule
241,rule_extent.vl.json,Y,rule
242,sample_scatterplot.vl.json,Y,sample
